source_taxon_name,interaction_type,target_taxon_name,target_taxon,notes,latitude,longitude,study_citation
Chamaenerion angustifolium angustifolium,pollinatedBy,Ctenucha,genus,,38.841784,-105.043821,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Chamaenerion angustifolium angustifolium,pollinatedBy,Echinomya,genus,,38.841784,-105.043821,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Chamaenerion angustifolium angustifolium,pollinatedBy,Adelphocoris,genus,,NA,NA,ResascoYY
Epilobium latifolium,pollinatedBy,Spilogona,genus,,66.966667,-50.55,"Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark."
Epilobium latifolium,pollinatedBy,Nowickia,genus,,66.966667,-50.55,"Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark."
Epilobium latifolium,pollinatedBy,Paraphaenocladius,genus,,74.5,-20.5,Elberling & Olesen unpubl.
Epilobium latifolium,pollinatedBy,Orthocladius,genus,,74.5,-20.5,Elberling & Olesen unpubl.
Epilobium latifolium,pollinatedBy,Pseudosmittia,genus,,74.5,-20.5,Elberling & Olesen unpubl.
Epilobium latifolium,flowersVisitedBy,Boloria,genus,,81,-71,"Kevan, P. G. 1970. High arctic insect-flower visitor relations: the inter-relationships of arthropods and flowers at Lake Hazen, Ellesmere Island, Northwest Territories, Canada. Ph.D. thesis thesis, University of Alberta."
Epilobium latifolium,flowersVisitedBy,Aedes,genus,,NA,NA,"Hocking, B. 1968. Insect-flower associations in the high Arctic with special reference to nectar. Oikos 19:359-388."
Epilobium,pollinatedBy,Leioproctus,genus,,-43.099531,171.720224,"Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. Craigieb."
Epilobium,pollinatedBy,Avibrissina,genus,,-43.099531,171.720224,"Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. Craigieb."
Epilobium montanum,pollinatedBy,Melanostoma,genus,,52.13420105,-0.925599992,doi:10.1111/1365-2664.12060
Chamaenerion angustifolium,pollinatedBy,Ochlodes,genus,,NA,NA,https://www.sussex.ac.uk/lifesci/ebe/dopi/search/interactions?plant=NBNSYS0000003598&pollinator=NHMSYS0000515876
Chamaenerion angustifolium,pollinatedBy,Sericomyia,genus,,NA,NA,Fang2016
Chamaenerion angustifolium,pollinatedBy,Cheilosia,genus,,NA,NA,Fang2016
Chamaenerion angustifolium,pollinatedBy,Meigenia,genus,,NA,NA,Fang2016
Chamaenerion angustifolium,pollinatedBy,Megasyrphus,genus,,67.655,24.919,doi:10.1038/s41559-022-01928-3
Chamaenerion angustifolium,pollinatedBy,Coenosia,genus,,65.375,26.917,doi:10.1038/s41559-022-01928-3
Chamaenerion angustifolium circumvagum,flowersVisitedBy,Zophomyia,genus,,NA,NA,National Database Plant Pollinators. Center for Plant Conservation at San Diego Zoo Global. Accessed via https://saveplants.org/national-collection/pollinator-search/ on 2020-06-05. Accessed at <https://github.com/globalbioticinteractions/cpc-pollinators/archive/a64674001b3fce1c5a4896d8c29b4bcb024e6f0b.zip> on 09 May 2025.
Chamerion angustifolium angustifolium,flowersVisitedBy,Hoplitis,genus,,NA,NA,"Clements, F.E. & Long, F.L. (1923). Experimental Pollination An Outline Of The Ecology Of Flower And Insects. Carnegie Institute of Washington, Washington, D.C."
Cirsium arvense,pollinatedBy,Asilus,genus,,56.066667,10.233333,"Bundgaard, M. (2003). Tidslig og rumlig variation i et plante-bestøvernetværk. Msc thesis. University of Aarhus. Aarhus, Denmark."
Cirsium arvense,pollinatedBy,Rhynconycha,genus,,56.066667,10.233333,"Bundgaard, M. (2003). Tidslig og rumlig variation i et plante-bestøvernetværk. Msc thesis. University of Aarhus. Aarhus, Denmark."
Cirsium arvense,pollinatedBy,Apocrita,genus,,56.238737,9.953652,"Montero AC (2005).The Ecology of Three Pollination Networks. MSc thesis (Univ of Aarhus, Aarhus, Denmark)."
Cirsium arvense,pollinatedBy,Procissio,genus,,-43.02823,171.78466,"Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. Cass."
Cirsium arvense,pollinatedBy,Hybopygia,genus,,-43.02823,171.78466,"Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. Cass."
Cirsium arvense,pollinatedBy,Pales,genus,,-43.02823,171.78466,"Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. Cass."
Cirsium arvense,flowersVisitedBy,Vanessa,genus,,NA,NA,National Database Plant Pollinators. Center for Plant Conservation at San Diego Zoo Global. Accessed via https://saveplants.org/national-collection/pollinator-search/ on 2020-06-05. Accessed at <https://github.com/globalbioticinteractions/cpc-pollinators/archive/a64674001b3fce1c5a4896d8c29b4bcb024e6f0b.zip> on 09 May 2025.
Cirsium arvense,pollinatedBy,Apis,genus,,NA,NA,National Database Plant Pollinators. Center for Plant Conservation at San Diego Zoo Global. Accessed via https://saveplants.org/national-collection/pollinator-search/ on 2020-06-05. Accessed at <https://github.com/globalbioticinteractions/cpc-pollinators/archive/a64674001b3fce1c5a4896d8c29b4bcb024e6f0b.zip> on 09 May 2025.
Cirsium arvense,flowersVisitedBy,Ceratina,genus,,44.42,-96.21,"Clint Otto, Russ Bryant, and Ned H. Euliss Jr., 2020, The U.S. Geological Survey Pollinator Library Dataset: U.S. Geological Survey. https://doi.org/10.5066/P9DSS3VL. Accessed at <https://www.sciencebase.gov/catalog/file/get/5f076d2082ce21d4c3fb7426?f=__disk__c5%2F05%2Fa4%2Fc505a40f8b320c4d1444ba286d4e7ec1143390a9> on 09 May 2025."
